id,name,role,department
1,Gavin Fleming,Managing Director,Leadership
2,Tim Sutton,Co-founder & CTO,Leadership
3,Admire Nyakudya,CEO,Leadership
4,Faneva Andriamiadantsoa,Software Developer,Development
5,Dimas Ciputra,Software Developer,Development
6,Etienne Trimaille,Software Developer,Development
7,Amy Burness,Training Specialist,Training
8,Muhammad Yarjuna Rohmat,GIS Specialist,Development
9,Samweli Mwakisambwe,GIS Developer,Development
10,Ketan Bamniya,Software Developer,Development
11,Jeremy Prior,Training Specialist,Training
12,Nick Hamm,Systems Administrator,IT
