version,version_name,release_date,category,feature_name,funded_by,funded_by_link,developed_by,developed_by_link,md_file
3.0.0,3.0.0 '<img',Not specified,General,Remove orphaned oracle raster plugin,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,Remove dxf2shp converter plugin,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,"Migrate Photo, WebView and FileName widgets to Attachment",Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,remove TauDEM provider from core Processing,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,Removed otb and lidartools providers from processing,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,Remove zonal stats plugin,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,General,More help and possibility to configure location of the QGIS help files,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Documentation,Processing algorithms enhancements,QGIS Grant Proposal,,Matteo Ghetta,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Improved consistency to the user interface,QGIS Sponsors and Donors,,Nyall Dawson,https://north-road.com,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,add search bar to the Configure Shortcuts dialog,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Add support for fine-resolution mouse wheel zooming,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Enable tabbed floating docks,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Locator bar,Not specified,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Improved map canvas' save as image,Andreas Neumann (partial funding),,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Toggle visibility of opened panels in main window,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Add an option to show user color schemes menus,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,"More non-blocking, inline editing",Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Color setting for map canvas north arrow decoration,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,User Interface,Open layers in a single group,Kartoza,www.kartoza.com,Étienne Trimaille,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,"New ""preset"" colors color ramp option",North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,save and restore color ramp used for singleband pseudocolor rendering,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Data defined symbol layer visibility,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Raster stretch toolbar actions support for pseudocolor renderer,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Transparency support for paletted renderer,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Support setting of color and transparency on multiple items for raster renderers,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Control over annotation contents margins,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Show an alpha slider in color button drop down menu,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Annotations can be styled using fill symbol styles,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Point cluster renderer,"Andreas Neumann, Qtibia Engineering (Tudor",,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,NEW MAP COLORING ALGORITHMS IN QGIS 3.0,Not specified,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Add Points and Inches to available symbol units,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Allow symbol layers to be temporarily disabled,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,raster auto-stretching when updating canvas,Not specified,,Even Rouault,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,New color ramp button widget,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Style management re-work and upgrade,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Symbology,Easy styling of discrete rasters,"Stéphane Henriod, Satelligence",,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Labelling,Custom labelling toolbar is now always enabled,French ministry of Ecology and Sustainable,,Paul Blottiere,,index.md
3.0.0,3.0.0 '<img',Not specified,Labelling,Allow label font size in mm/pixels,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Diagrams,Data definable properties,QGIS Grant Program,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Rendering,Live layer support,Not specified,,Kartoza,,index.md
3.0.0,3.0.0 '<img',Not specified,Rendering,Trigger layer refresh or layer actions from PostgreSQL NOTIFY signal,QGIS.org Grant,,Vincent,,index.md
3.0.0,3.0.0 '<img',Not specified,Rendering,Cache labeling result to avoid unnecessary redraws when refreshing canvas,Not specified,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Rendering,Grid renderer for points displacement,Not specified,,Muhammad Yarjuna Rohmat,,index.md
3.0.0,3.0.0 '<img',Not specified,3D Features,3D map view and terrain generation,QGIS.ORG,https://qgis.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,3D Features,3D renderers for map layers,QGIS.ORG,https://qgis.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Map Composer Overhaul,The Swiss QGIS User Group and many more!,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Control over drawing of composer table grid horizontal & vertical lines,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Drag qpt to QGIS to create new composer from template,SMEC (Surbana,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Allow customization of line spacing for composer legend item labels,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Holding shift while drawing polyline/polygon constrains line angles,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,More data definable controls,QGIS Grant Program,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Print Layouts,Allow choice of CRS for map items,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,New expression variables for map settings,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,Expose @parent variable in aggregate functions,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,New expression functions,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,new global expression variable @qgis_locale,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,item_variables expression function inside compositions,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Expressions,New expression variables,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Range vertex selection in node tool,French ministry in charge of,,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Add default Z value option,Not specified,,Paul Blottiere,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Move feature now benefits from Advanced Digitizing,Not specified,,Denis Rouzaud,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Added functionnality to copy/move feature to move feature map tool,Not specified,,Denis Rouzaud,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Tracing with offset,d.b.g. Datenbankgesellschaft,,Martin Dobias,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Overhaul of the Vertex tool,QWAT,http://qwat.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Vertex tool: mid-point markers to add vertices,QWAT,http://qwat.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Vertex tool: continue line,QWAT,http://qwat.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Digitising,Vertex tool: support for advanced digitizing panel,QWAT,http://qwat.org/,Lutra Consulting,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,Metadata overhaul,WorldBank/GFDRR,http://gfdrr.org,Kartoza,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,Pan to current feature in attribute table,Not specified,,Marco Hugentobler,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,Map of CRS-extent in Project properties,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,Auxilliary Storage Support,Not specified,,Paul Blottiere,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,Unified data source manager dialog,Boundless,,Alessandro Pasotti,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Management,OSM Downloader tool removed,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Show field values in autocompleter in form filter mode,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Allow configuring link/unlink feature buttons on relation editor widget,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Add layer scoped actions,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Add between/not between to numerical fields in select by form,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Add zoom to features and flash features shortcuts in select by form dialog,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,conditional visibility for tabs and groupboxes,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Field constraints can be enforced or not,OpenGIS.ch,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Allow controlling labels for individual edit widgets,Not specified,,Matthias Kuhn,,index.md
3.0.0,3.0.0 '<img',Not specified,Forms and Widgets,Smarter default edit widgets with plugins to pick them,Not specified,,Patrick Valsecchi,,index.md
3.0.0,3.0.0 '<img',Not specified,Layer Legend,Hide Deselected Layers action,SMEC (Surbana,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Layer Legend,Change of ergonomy of the visibility of layers inside groups,Not specified,,Even Rouault,,index.md
3.0.0,3.0.0 '<img',Not specified,Analysis Tools,Raster unique values count for processing,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Optimised points along geometry algorithm,Andreas Neumann,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm to orthagonalize geometries,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Improved processing modeler window,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm for offsetting lines,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm for single sided buffers,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,expose zonal statistics from Zonal statistics plugin in toolbox,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,add a spatialite execute SQL algorithm,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,add import into spatialite algorithm,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Port heatmap plugin to processing algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New extract by expression algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,support for output geometry types in models,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Better support for Z/M dimensions and curved geometries,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,added ‘invalid feature handling’ option,Not specified,,Victor Olaya,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,SplitWithLines,Not specified,,Bernhard Ströbl,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Raster analysis algorithms added to Processing,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New input type for expressions,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm to extend lines,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Create attribute index algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Interpolation algorithms,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Extract by attribute can extract for null/notnull values,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,algorithm to fix invalid geometries using native makeValid() implementation,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New universal 'basic stats for field' algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Network analysis algorithms,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm to truncate tables,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Export processing models as PDF/SVG,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New 'drop geometries' algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New raster unique values report algorithm,Not specified,,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,add search to Get Scripts and Models dialog,Not specified,,Alexander Bruy,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm for translating (moving) points,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,improved Extract nodes algorithm,Andreas Neumann,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Generic centroid algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Download a file from Processing,Not specified,,Étienne Trimaille,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,remove TauDEM provider from core Processing,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm to extract specific nodes,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,pole of inaccessibility algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,New algorithm to compute geometry by expression,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Add choice of simplification method to simplify,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Angle threshold for smooth algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Snap geometries to layer algorithm,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Processing,Sort by expression algorithm,Not specified,,Étienne Trimaille,,index.md
3.0.0,3.0.0 '<img',Not specified,Application and Project Options,Add support for user profiles,Not specified,,Nathan Woodrow,,index.md
3.0.0,3.0.0 '<img',Not specified,Application and Project Options,New zipped project file format .qgz,French ministry of Ecology and Sustainable,,Paul Blottiere,,index.md
3.0.0,3.0.0 '<img',Not specified,Browser,Drag'n'drop layers from layer tree view to browser dock,Not specified,,Martin Dobias,,index.md
3.0.0,3.0.0 '<img',Not specified,Browser,Standalone QGIS Browser application removed,Not specified,,Not specified,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,New unified 'add layer' dialog,Not specified,,Alessandro Pasotti,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,GeoPackage,Not specified,,Alessandro Pasotti,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Support all GDAL writable raster formats for 'Save as' dialog on raster layers,Not specified,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,"Support for Z/M geometries in gpkg, spatialite and memory layer provider","QWAT group, http://www.imhere-asia.com/",http://www.qwat.org,Mathieu Pellerin,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Unique and not-null constraint handling,OpenGIS.ch,,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,GeoNode integration,WorldBank/GFDRR,https://www.gfdrr.org,Kartoza,http://kartoza.com,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Detect literal default values for spatialite provider,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Create attribute index support for spatialite provider,North Road,https://north-road.com/,Nyall Dawson,,index.md
3.0.0,3.0.0 '<img',Not specified,Data Providers,Add support for arrays,Not specified,,Patrick Valsecchi,,index.md
